Symbol,FDR,AUC.ctrl
Snrnp40,4.44e-166,0.674
Hnrnpa0,5.35e-166,0.674
Timm50,1.07e-165,0.674
Mtch2,4.60e-165,0.674
Sdhaf1,6.82e-165,0.674
Comtd1,7.46e-165,0.674
Uck2,8.57e-165,0.674
Tma7,3.21e-164,0.673
Junb,3.99e-164,0.673
Magohb,4.46e-164,0.673
Gtf2h5,5.18e-164,0.673
Orc6,7.17e-164,0.673
Rcc2,2.41e-163,0.673
Prdx6,7.25e-163,0.672
Cct4,1.11e-162,0.672
Fam49b,1.30e-162,0.672
Ppp2ca,2.26e-162,0.672
Map4k1,2.62e-162,0.673
Wdr43,5.19e-162,0.672
Smn1,5.21e-162,0.672
Rpl5,1.74e-161,0.672
Mgat2,4.83e-161,0.672
Mrps18a,1.23e-160,0.672
Mars,1.86e-160,0.672
Psmd1,6.12e-160,0.671
Bsg,3.40e-159,0.671
9130401M01Rik,1.14e-158,0.671
Mrpl28,3.53e-158,0.670
Aimp2,6.00e-158,0.670
Cdk6,4.36e-157,0.669
Stub1,5.11e-157,0.669
Prps1,1.65e-156,0.669
Gm16286,7.39e-156,0.669
Pabpc4,1.05e-155,0.669
Cyb5b,1.30e-155,0.669
Hnrnpk,1.42e-155,0.669
Ppp1cc,1.47e-155,0.669
Mettl1,1.79e-155,0.669
Gmps,1.34e-154,0.668
Aurkaip1,1.46e-154,0.668
Hnrnpa2b1,2.99e-154,0.668
Creld2,6.05e-154,0.668
Mri1,6.18e-154,0.668
Rnf126,7.41e-154,0.668
Mcts1,1.16e-153,0.668
Pus1,1.44e-153,0.668
Ms4a6c,1.71e-153,0.668
Exosc1,2.26e-153,0.668
Psmb10,1.38e-152,0.667
Tmem251,2.90e-152,0.667
